file,propeller,volume
"125x10-PERF.PE0","12.5x10: radius 6.25 in, 2 blades, hub radius 0.520 in","model 1.8723 in^3 with the bore cut; file quotes 1.9784 in^3"
"125x6-PERF.PE0","12.5x6: radius 6.25 in, 2 blades, hub radius 0.500 in","model 1.8748 in^3 with the bore cut; file quotes 1.9848 in^3"
"12x10-PERF.PE0","12x10: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.6128 in^3 with the bore cut; file quotes 1.7180 in^3"
"12x10E-PERF.PE0","12x10E: radius 6.00 in, 2 blades, hub radius 0.400 in","model 0.9071 in^3 with the bore cut; file quotes 0.9792 in^3"
"12x10W-PERF.PE0","12x10W: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.7297 in^3 with the bore cut; file quotes 1.8317 in^3"
"12x11-PERF.PE0","12x11: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.6090 in^3 with the bore cut; file quotes 1.7199 in^3"
"12x12-PERF.PE0","12x12: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.7469 in^3 with the bore cut; file quotes 1.8770 in^3"
"12x12E-PERF.PE0","12x12E: radius 6.00 in, 2 blades, hub radius 0.400 in","model 0.9048 in^3 with the bore cut; file quotes 0.9943 in^3"
"12x12N-PERF.PE0","12x12N: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.5599 in^3 with the bore cut; file quotes 1.7535 in^3"
"12x13-PERF.PE0","12x13: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.5864 in^3 with the bore cut; file quotes 1.7144 in^3"
"12x13N-PERF.PE0","12x13N: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.5863 in^3 with the bore cut; file quotes 1.7362 in^3"
"12x14-PERF.PE0","12x14: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.5744 in^3 with the bore cut; file quotes 1.7126 in^3"
"12x38SF-PERF.PE0","12x3.8SF: radius 6.00 in, 2 blades, hub radius 0.250 in","model 0.5497 in^3 with the bore cut; file quotes 0.6424 in^3"
"12x4-PERF.PE0","12x4: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.4886 in^3 with the bore cut; file quotes 1.5792 in^3"
"12x45MR-PERF.PE0","12x4.5MR: radius 6.00 in, 2 blades, hub radius 0.320 in","model 0.7685 in^3 with the bore cut; file quotes 0.8041 in^3"
"12x45MRF-RH-PERF.PE0","12x4.5MRF-RH: radius 6.00 in, 2 blades, hub radius 0.000 in","model 0.2592 in^3 with the bore cut; file quotes 0.6445 in^3"
"12x47SF-PERF.PE0","12x4.7SF: radius 6.00 in, 2 blades, hub radius 0.250 in","model 0.5499 in^3 with the bore cut; file quotes 0.6382 in^3"
"12x5-PERF.PE0","12x5: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.4983 in^3 with the bore cut; file quotes 1.5823 in^3"
"12x55MR-PERF.PE0","12x5.5MR: radius 6.00 in, 2 blades, hub radius 0.320 in","model 0.7681 in^3 with the bore cut; file quotes 0.8053 in^3"
"12x58SF-PERF.PE0","12x5.8SF: radius 6.00 in, 2 blades, hub radius 0.250 in","model 0.4273 in^3 with the bore cut; file quotes 0.4921 in^3"
"12x6-PERF.PE0","12x6: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.6842 in^3 with the bore cut; file quotes 1.7913 in^3"
