folder,source_file,model,megabytes,blades,diameter_in,pitch_in,hub_thickness_in,bore_in,model_volume_in3,file_volume_in3,volume_error_pct,model_mass_g,airfoil
14x13M,14x13M-PERF.PE0,hub and blades,13.14,2,14.0,13.0,0.3545,0.375,2.9948,3.3113,-9.6,83.43,CLARK-Y
14x13N,14x13N-PERF.PE0,hub and blades,13.11,2,14.0,13.0,0.5223,0.375,2.319,2.4329,-4.7,64.6,CLARK-Y
14x14,14x14-PERF.PE0,hub and blades,13.13,2,14.0,14.0,0.543,0.375,2.4347,2.52,-3.4,67.83,CLARK-Y
14x14E,14x14E-PERF.PE0,hub and blades,13.15,2,14.0,14.0,0.35,0.25,1.2253,1.2976,-5.6,34.13,E63 to APC12
14x14N,14x14N-PERF.PE0,hub and blades,13.13,2,14.0,14.0,0.5223,0.375,2.2975,2.4126,-4.8,64.01,CLARK-Y
14x17M,14x17M-PERF.PE0,hub and blades,13.11,2,14.0,17.0,0.2934,0.375,3.1013,3.6441,-14.9,86.4,CLARK-Y
14x4.7SF,14x47SF-PERF.PE0,hub and blades,13.36,2,14.0,4.7,0.0538,0.25,0.8112,0.9118,-11.0,22.6,E63 to APC12
14x4W,14x4W-PERF.PE0,hub and blades,13.39,2,14.0,4.277,0.2139,0.375,1.853,2.1091,-12.1,51.62,CLARK-Y
14x5.5MR,14x55MR-PERF.PE0,hub and blades,13.62,2,14.0,5.5,0.3375,0.25,1.0456,1.0827,-3.4,29.13,E63 to APC12
14x5N,14x5N-PERF.PE0,hub and blades,13.38,2,14.0,5.0,0.4,0.375,1.732,1.7931,-3.4,48.25,CLARK-Y
14x6,14x6-PERF.PE0,hub and blades,13.0,2,14.0,6.0,0.49,0.375,2.5831,2.6336,-1.9,71.96,CLARK-Y
14x6E,14x6E-PERF.PE0,hub and blades,13.24,2,14.0,6.0,0.365,0.25,1.2128,1.2673,-4.3,33.79,E63 to APC12
14x7,14x7-PERF.PE0,hub and blades,13.1,2,14.0,7.0,0.6512,0.375,2.7893,2.8059,-0.6,77.7,CLARK-Y
14x7E,14x7E-PERF.PE0,hub and blades,13.22,2,14.0,7.0,0.365,0.25,1.2095,1.2669,-4.5,33.7,E63 to APC12
14x8,14x8-PERF.PE0,hub and blades,13.13,2,14.0,8.0,0.54,0.375,2.5177,2.5699,-2.0,70.14,CLARK-Y
14x8.5E,14x85E-PERF.PE0,hub and blades,13.25,2,14.0,8.5,0.39,0.25,1.2163,1.3487,-9.8,33.88,E63 to APC12
