folder,source_file,model,megabytes,blades,diameter_in,pitch_in,hub_thickness_in,bore_in,model_volume_in3,file_volume_in3,volume_error_pct,model_mass_g,airfoil
9x6N,9x6N-PERF.PE0,hub and blades,12.93,2,9.0,6.2765,0.194,0.25,0.4654,0.6337,-26.6,12.96,CLARK-Y
9x6SF,9x6SF-PERF.PE0,hub and blades,12.73,2,9.0,6.0,0.0504,0.25,0.2597,0.3102,-16.3,7.23,E63
9x7,9x7-PERF.PE0,hub and blades,12.91,2,9.0,7.0,0.4236,0.25,0.7759,0.7817,-0.8,21.61,CLARK-Y
9x7.5,9x75-PERF.PE0,hub and blades,13.03,2,9.0,7.5,0.42,0.25,1.0195,1.0449,-2.4,28.4,CLARK-Y
9x7.5E,9x75E-PERF.PE0,hub and blades,12.95,2,9.0,7.5,0.2459,0.25,0.5641,0.6375,-11.5,15.72,E63 to APC12
9x7.5SF,9x75SF-PERF.PE0,hub and blades,13.07,2,9.0,7.5,0.0504,0.25,0.2613,0.3231,-19.1,7.28,E63
9x8,9x8-PERF.PE0,hub and blades,12.93,2,9.0,8.0,0.4,0.25,0.8432,0.8636,-2.4,23.49,CLARK-Y
9x8.5,9x85-PERF.PE0,hub and blades,13.02,2,9.0,8.5,0.42,0.25,1.0163,1.0459,-2.8,28.31,CLARK-Y
9x8E-3,9x8E-3-PERF.PE0,hub and blades,19.95,3,9.0,7.5,0.3217,0.25,0.9114,0.8951,1.8,25.39,E63 to APC12
9x9,9x9-PERF.PE0,hub and blades,12.95,2,9.0,9.0,0.34,0.25,0.7896,0.8137,-3.0,22.0,CLARK-Y
9x9E,9x9E-PERF.PE0,hub and blades,13.0,2,9.0,9.0,0.2253,0.25,0.5524,0.6457,-14.5,15.39,E63 to APC12
